Instant,Weekday,Rings Blasted Block 5 SLC 70L,Rings Blasted Block 5 SLC 73L,Rings Blasted Block 5 SLC 75L,Rings Blasted Block 5 SLC 78L,Hoisted BLOCK 5 SLC 70L,Hoisted BLOCK 5 SLC 73L,Hoisted BLOCK 5 SLC 75L,Hoisted BLOCK 5 SLC 78L,Hoisted BLOCK 5 SLC Phase 2 70L,Hoisted BLOCK 5 SLC Phase 2 73L,Distinct LHDs,DailyHoist
1,5,1,7,5,0,0,0.301549931,0.375800657,0,0.322649412,0,9,9030.08
2,6,2,5,5,0,0,0.154256107,0.090007402,0,0.755736491,0,7,6214.6
3,7,1,2,6,0,0,0.235960496,0.465821069,0,0.298218435,0,9,9501.76
4,1,1,3,5,0,0,0.404003383,0.507565078,0,0.088431538,0,9,9789.72
5,2,1,4,4,0,0,0.415526518,0.42567256,0,0.125057648,0.033743274,9,11969.2
6,3,1,5,2,0,0,0.147288373,0.780068041,0,0,0.072643586,5,4597.24
7,4,1,5,2,0,0,0.035087039,0.316061305,0,0.648851656,0,7,4641.03
8,5,1,4,2,0,0,0.025663649,0.386424465,0.225500702,0.362411184,0,8,8137.58
9,6,0,7,1,0,0,0.482821712,0.255946331,0,0.164331739,0.096900218,8,9050.96
10,7,0,8,0,0,0,0.522322633,0.316931003,0,0.127467754,0.03327861,9,9825.23
11,1,0,6,1,0,0,0.490098462,0.427038389,0,0.016926651,0.065936497,9,8315.88
12,2,0,5,1,0,0,0.277727683,0.682596934,0,0,0.039675383,5,2040.56
13,3,0,5,1,0,0.565647991,0.163271081,0,0.136672326,0.134408602,0,6,3251.28
14,4,0,6,1,0,0,0.803502473,0.015303564,0,0.14204987,0.039144094,7,8416.34
15,5,0,6,3,0,0,0.59452783,0.004402054,0,0.181614762,0.219455354,8,10658.66
16,6,0,4,3,0,0,0.530914312,0.305126621,0,0,0.163959066,8,11915.84
17,7,0,3,3,0,0,0.221493201,0.428112011,0.120229759,0,0.230165029,8,10205.46
18,1,0,5,2,0,0,0.335496529,0.430576517,0.049200121,0,0.184726834,8,6095.92
19,2,0,6,2,0,0,0.330869812,0.391472428,0.113359864,0,0.164297897,7,8091.4
20,3,0,6,3,0,0,0.437391701,0.425262198,0.042863657,0,0.094482444,9,10087.8
21,4,0,5,3,0,0,0.456266566,0.429509024,0.016912786,0,0.097311624,8,7289.16
22,5,0,5,3,0,0,0.436347177,0.059522462,0.057938214,0.218286749,0.227905398,9,8130.04
23,6,0,4,5,0,0,0.284970001,0.543707317,0.068956066,0,0.102366616,6,8318.63
24,7,0,4,5,0,0,0.039690175,0.659347237,0.149534897,0,0.151427691,7,9573.15
25,1,0,3,5,0,0,0.09406647,0.643445774,0.157578769,0,0.104908987,5,7687.33
26,2,0,4,5,0,0,0.149998196,0.663016268,0.144631843,0,0.042353693,6,9703.05
27,3,0,4,4,0,0,0.231974922,0.550734202,0.035720178,0,0.181570698,7,11152.24
28,4,0,4,4,0,0,0.297453346,0.602742551,0.035983091,0,0.063821012,9,8923.08
