Instant,Weekday,Rings Blasted Block 5 SLC 70L,Rings Blasted Block 5 SLC 73L,Rings Blasted Block 5 SLC 75L,Rings Blasted Block 5 SLC 78L,Hoisted BLOCK 5 SLC 70L,Hoisted BLOCK 5 SLC 73L,Hoisted BLOCK 5 SLC 75L,Hoisted BLOCK 5 SLC 78L,Hoisted BLOCK 5 SLC Phase 2 70L,Hoisted BLOCK 5 SLC Phase 2 73L,Distinct LHDs,DailyHoist
1,1,4,6,1,0,0,0.403432172,0.231608686,0.020564553,0.114166706,0.230227883,12,7864.99
2,2,4,8,2,0,0,0.267401981,0.306902109,0.03237406,0.245627768,0.147694082,11,9747.31
3,3,4,9,2,0,0,0.328766507,0.337020001,0.082455925,0.167838379,0.083919189,13,9998.19
4,4,1,5,1,0,0.071470155,0.264919656,0.295641539,0,0.209020024,0.158948626,12,10735.67
5,5,2,5,2,0,0,0.536252173,0.203084476,0.174709406,0.018322952,0.067630992,10,6057.43
6,6,3,5,2,0,0,0.29046577,0.431597019,0.117550917,0,0.160386294,11,7042.31
7,7,3,5,3,0,0.107303515,0.12024723,0.306010313,0.086071024,0.277602311,0.102765607,10,6835.75
8,1,2,5,3,0,0,0.292399909,0.434271386,0.153534276,0,0.11979443,13,9651.2
9,2,2,3,3,0,0,0.216508909,0.473599017,0.155208903,0,0.15468317,10,8920.88
10,3,2,2,3,0,0,0.197095654,0.608580143,0.136512155,0,0.057812048,11,8367.46
11,4,2,2,3,0,0,0.196613681,0.386024578,0.105630259,0.190297994,0.121433489,11,8206.55
12,5,1,3,2,0,0,0.278265824,0.379585386,0.075210486,0.202804528,0.064133777,12,9250.04
13,6,1,3,2,0,0,0.349725255,0.25405791,0.039886306,0.128464369,0.227866161,12,6322.22
14,7,1,3,1,0,0,0.161812464,0.58616313,0.067411667,0,0.184612739,11,5641.16
15,1,2,5,1,0,0,0.177793806,0.606750343,0.110915051,0,0.1045408,11,7764.05
16,2,2,6,0,0,0.044153771,0.300471697,0.230174394,0.098314179,0.218216791,0.108669168,12,10563.99
17,3,2,6,0,0,0.019636053,0.368646478,0.171036849,0.115809829,0.083170168,0.241700623,13,9070.56
18,4,2,5,1,0,0.034537075,0.338390406,0.319438784,0.146061677,0.049039348,0.11253271,12,7459.52
19,5,2,4,1,0,0.18832419,0.31046847,0.413639217,0,0.034083031,0.053485092,11,10991.1
20,6,1,5,1,0,0.029985841,0.392210864,0.453244466,0,0,0.124558829,10,5791.4
21,7,2,7,2,0,0,0.369888644,0.506962806,0,0,0.12314855,10,5756.3
22,1,1,5,3,0,0.013096226,0.262095059,0.428881389,0.024158536,0.207284618,0.064484173,11,9498.92
23,2,1,5,3,0,0,0.382982941,0.424628936,0.03313336,0,0.159254763,9,8526.15
24,3,1,7,4,0,0,0.324124123,0.411330853,0.145770221,0,0.118774803,10,10328.79
25,4,1,8,3,0,0.047056169,0.448792789,0.184151844,0.003870295,0.268881224,0.047247679,11,9973.4
26,5,1,7,3,0,0,0.565652502,0,0,0.384880491,0.049467007,9,1839.61
27,6,1,6,3,0,0,1,0,0,0,0,2,241.65
28,7,2,5,2,0,0,0.380437775,0.497735621,0,0.121826605,0,9,6357.15
29,1,2,6,1,0,0.25041365,0.465263078,0.284323272,0,0,0,8,11338.08
30,2,2,5,1,0,0,0.276091407,0.313158343,0,0.140741126,0.270009125,10,8460.64
31,3,3,3,0,0,0.060517104,0.427425949,0.343124393,0,0.070438568,0.098493985,9,3399.7
32,4,3,3,1,0,0.129553587,0.213906621,0.200925776,0,0.151517152,0.304096864,11,10907.61
33,5,4,3,1,0,0.121738483,0.321429749,0.483639441,0,0.00124446,0.071947867,11,8188.29
34,6,4,3,2,0,0.080036606,0.322661323,0.252931057,0,0.246291073,0.098079942,10,8632.55
35,7,3,3,2,0,0,0.174996663,0.561218729,0.0214041,0.07102396,0.171356548,10,7192.08
36,1,4,2,3,0,0,0.146456253,0.490950792,0.067377174,0.128292458,0.166923322,11,11318.67
37,2,4,3,3,0,0,0.15338766,0.431150422,0.106973179,0.206088081,0.102400658,10,11765.94
